iter	Passed	Remaining
0	1	147
1	2	134
2	3	126
3	4	117
4	6	116
5	7	114
6	8	113
7	9	112
8	10	110
9	12	112
10	13	111
11	15	110
12	16	109
13	17	108
14	18	107
15	20	105
16	21	104
17	22	103
18	23	102
19	25	101
20	26	100
21	28	99
22	29	98
23	30	97
24	32	96
25	33	95
26	34	94
27	36	92
28	37	91
29	38	90
30	40	89
31	41	89
32	43	88
33	46	89
34	47	88
35	49	88
36	51	86
37	52	85
38	53	84
39	55	83
40	57	82
41	57	80
42	59	78
43	60	77
44	62	75
45	63	74
46	65	73
47	66	72
48	68	70
49	70	70
50	71	69
51	73	67
52	75	66
53	76	65
54	77	63
55	79	62
56	80	61
57	82	60
58	84	58
59	85	57
60	87	55
61	88	54
62	90	53
63	92	51
64	93	50
65	95	49
66	96	47
67	98	46
68	100	44
69	101	43
70	103	42
71	104	40
72	106	39
73	108	37
74	109	36
75	111	35
76	112	33
77	114	32
78	116	30
79	117	29
80	119	27
81	120	26
82	122	25
83	123	23
84	125	22
85	127	20
86	128	19
87	130	17
88	131	16
89	133	14
90	134	13
91	136	11
92	138	10
93	139	8
94	141	7
95	142	5
96	144	4
97	146	2
98	147	1
99	149	0
