iter	Passed	Remaining
0	398	397684
1	494	246570
2	495	164699
3	505	125807
4	509	101314
5	512	84916
6	514	72919
7	515	63877
8	516	56848
9	518	51300
10	521	46855
11	523	43072
12	524	39806
13	525	37013
14	526	34580
15	527	32453
16	528	30575
17	529	28906
18	530	27415
19	532	26071
20	533	24854
21	534	23782
22	536	22784
23	537	21867
24	637	24853
25	639	23941
26	640	23086
27	641	22283
28	643	21535
29	644	20836
30	645	20181
31	646	19566
32	649	19038
33	651	18506
34	652	17993
35	653	17507
36	654	17047
37	656	16612
38	657	16198
39	658	15805
40	659	15431
41	660	15075
42	663	14756
43	664	14437
44	665	14126
45	666	13829
46	668	13546
47	706	14002
48	707	13726
49	709	13479
50	711	13244
51	713	13002
52	715	12792
53	717	12565
54	718	12352
55	722	12185
56	724	11989
57	726	11798
58	728	11613
59	729	11433
60	731	11260
61	732	11087
62	734	10920
63	737	10783
64	738	10627
65	740	10474
66	741	10325
67	742	10181
68	744	10041
69	745	9905
70	746	9773
71	748	9645
72	752	9550
73	753	9431
74	755	9312
75	756	9195
76	757	9083
77	759	8972
78	760	8864
79	761	8760
80	763	8657
81	765	8570
82	766	8466
83	767	8370
84	769	8278
85	770	8186
86	771	8096
87	772	8007
88	773	7921
89	775	7836
90	776	7754
91	778	7681
92	779	7606
93	781	7532
94	783	7460
95	784	7389
96	785	7316
97	787	7245
98	788	7174
99	789	7105
100	790	7037
101	791	6971
102	794	6919
103	795	6856
104	797	6793
105	798	6732
106	799	6671
107	800	6612
108	801	6553
109	802	6496
110	804	6441
111	805	6385
112	807	6336
113	810	6298
114	812	6255
115	814	6206
116	815	6157
117	817	6109
118	818	6060
119	820	6014
120	823	5980
121	824	5934
122	826	5889
123	827	5844
124	828	5800
125	829	5756
126	831	5712
127	832	5670
128	833	5629
129	835	5589
130	838	5560
131	839	5522
132	841	5482
133	842	5442
134	843	5403
135	844	5365
136	845	5327
137	846	5290
138	848	5254
139	850	5222
140	853	5198
141	854	5162
142	855	5127
143	856	5093
144	858	5059
145	859	5026
146	860	4993
147	861	4960
148	863	4929
149	864	4899
150	867	4879
151	869	4849
